plugin,plugin_class,method,kind,signature,description,implemented_by_tools,status,priority,firmware_notes
offboard,Offboard,set_position_velocity_ned,async call,"(position_ned_yaw, velocity_ned_yaw)","Set the position in NED coordinates, with the velocity to be used as feed-forward.",offboard_set_position_ned,implemented,P0,ArduCopter 4.5.7 SITL: accepted; feed-forward effect not independently verified. PX4: untested (SITL pending).
offboard,Offboard,set_velocity_body,async call,(velocity_body_yawspeed),Set the velocity in body coordinates and yaw angular rate. Not available for fixed-wing aircraft.,offboard_set_velocity_body,implemented,P0,"ArduCopter 4.5.7 SITL: accepted in flight, motion consistent; not quantitatively verified. PX4: untested (SITL pending)."
offboard,Offboard,set_velocity_ned,async call,(velocity_ned_yaw),Set the velocity in NED coordinates and yaw. Not available for fixed-wing aircraft.,"offboard_set_velocity_ned, [infra: _make_brake]",implemented,P0,"ArduCopter 4.5.7 SITL: works - commanded 2 m/s north, telemetry confirmed 2.0 m/s. PX4: untested (SITL pending)."
offboard,Offboard,start,async call,(),Start offboard control.,offboard_control,implemented,P0,ArduCopter 4.5.7 SITL: works - MavSDK maps offboard to GUIDED mode. PX4: untested (SITL pending).
offboard,Offboard,stop,async call,(),Stop offboard control.,offboard_control,implemented,P0,ArduCopter 4.5.7 SITL: works - vehicle switches to Loiter (reported as HOLD). PX4: untested (SITL pending).
param,Param,get_all_params,async call,(),Get all parameters.,list_parameters,implemented,,
param,Param,get_param_custom,async call,(name),Get a custom parameter.,,missing,,
param,Param,get_param_float,async call,(name),Get a float parameter.,"get_parameter, set_parameter",implemented,,
param,Param,get_param_int,async call,(name),Get an int parameter.,"get_parameter, set_parameter",implemented,,
param,Param,select_component,async call,"(component_id, protocol_version)",Select component ID of parameter component to talk to and param protocol version.,,missing,,
param,Param,set_param_custom,async call,"(name, value)",Set a custom parameter.,,missing,,
param,Param,set_param_float,async call,"(name, value)",Set a float parameter.,set_parameter,implemented,,
param,Param,set_param_int,async call,"(name, value)",Set an int parameter.,set_parameter,implemented,,
param_server,ParamServer,changed_param_custom,stream (async generator),(),Subscribe to changed custom param.,,candidate-N/A,,
param_server,ParamServer,changed_param_float,stream (async generator),(),Subscribe to changed float param.,,candidate-N/A,,
param_server,ParamServer,changed_param_int,stream (async generator),(),Subscribe to changed int param.,,candidate-N/A,,
param_server,ParamServer,provide_param_custom,async call,"(name, value)",Provide a custom parameter.,,candidate-N/A,,
param_server,ParamServer,provide_param_float,async call,"(name, value)",Provide a float parameter.,,candidate-N/A,,
param_server,ParamServer,provide_param_int,async call,"(name, value)",Provide an int parameter.,,candidate-N/A,,
param_server,ParamServer,retrieve_all_params,async call,(),Retrieve all parameters.,,candidate-N/A,,
param_server,ParamServer,retrieve_param_custom,async call,(name),Retrieve a custom parameter.,,candidate-N/A,,
param_server,ParamServer,retrieve_param_float,async call,(name),Retrieve a float parameter.,,candidate-N/A,,
param_server,ParamServer,retrieve_param_int,async call,(name),Retrieve an int parameter.,,candidate-N/A,,
param_server,ParamServer,set_protocol,async call,(extended_protocol),Set param protocol.,,candidate-N/A,,
rtk,Rtk,send_rtcm_data,async call,(rtcm_data),Send RTCM data.,,missing,,
server_utility,ServerUtility,send_status_text,async call,"(type, text)",Sends a statustext.,,missing,,
shell,Shell,receive,stream (async generator),(),Receive feedback from a sent command line.,,missing,P2,
shell,Shell,send,async call,(command),Send a command line.,,missing,P2,
telemetry,Telemetry,actuator_control_target,stream (async generator),(),Subscribe to 'actuator control target' updates.,,missing,,
telemetry,Telemetry,actuator_output_status,stream (async generator),(),Subscribe to 'actuator output status' updates.,,missing,,
telemetry,Telemetry,altitude,stream (async generator),(),Subscribe to 'Altitude' updates.,,missing,,
telemetry,Telemetry,armed,stream (async generator),(),Subscribe to armed updates.,get_armed,implemented,,
telemetry,Telemetry,attitude_angular_velocity_body,stream (async generator),(),Subscribe to 'attitude' updates (angular velocity),,missing,,
telemetry,Telemetry,attitude_euler,stream (async generator),(),Subscribe to 'attitude' updates (Euler).,get_attitude,implemented,,
telemetry,Telemetry,attitude_quaternion,stream (async generator),(),Subscribe to 'attitude' updates (quaternion).,,missing,,
telemetry,Telemetry,battery,stream (async generator),(),Subscribe to 'battery' updates.,get_battery,implemented,,
telemetry,Telemetry,distance_sensor,stream (async generator),(),Subscribe to 'Distance Sensor' updates.,,missing,,
telemetry,Telemetry,fixedwing_metrics,stream (async generator),(),Subscribe to 'fixedwing metrics' updates.,,missing,,
telemetry,Telemetry,flight_mode,stream (async generator),(),Subscribe to 'flight mode' updates.,"get_flight_mode, is_mission_finished, resume_mission, set_flight_mode",implemented,,
telemetry,Telemetry,get_gps_global_origin,async call,(),Get the GPS location of where the estimator has been initialized.,,missing,,
telemetry,Telemetry,gps_info,stream (async generator),(),Subscribe to 'GPS info' updates.,get_gps_info,implemented,,
telemetry,Telemetry,ground_truth,stream (async generator),(),Subscribe to 'ground truth' updates.,,missing,,
telemetry,Telemetry,heading,stream (async generator),(),Subscribe to 'Heading' updates.,"get_heading, [infra: _make_brake]",implemented,,
telemetry,Telemetry,health,stream (async generator),(),Subscribe to 'health' updates.,"get_health, [infra: connect_drone_background]",implemented,,
telemetry,Telemetry,health_all_ok,stream (async generator),(),Subscribe to 'HealthAllOk' updates.,get_health_all_ok,implemented,,
telemetry,Telemetry,home,stream (async generator),(),Subscribe to 'home position' updates.,get_home_position,implemented,,
telemetry,Telemetry,imu,stream (async generator),(),Subscribe to 'IMU' updates (in SI units in NED body frame).,get_imu,implemented,,
telemetry,Telemetry,in_air,stream (async generator),(),Subscribe to in-air updates.,"get_in_air, monitor_flight",implemented,,
telemetry,Telemetry,landed_state,stream (async generator),(),Subscribe to landed state updates,"get_landed_state, monitor_flight",implemented,,
telemetry,Telemetry,odometry,stream (async generator),(),Subscribe to 'odometry' updates.,get_odometry,implemented,,
telemetry,Telemetry,position,stream (async generator),(),Subscribe to 'position' updates.,"check_arrival, get_position, go_to_location, hold_mission_position, hold_position, land, monitor_flight, move_to_relative, reposition, set_flight_mode, set_yaw, takeoff",implemented,,
telemetry,Telemetry,position_velocity_ned,stream (async generator),(),Subscribe to 'position velocity' updates.,,missing,,
telemetry,Telemetry,raw_gps,stream (async generator),(),Subscribe to 'Raw GPS' updates.,,missing,,
telemetry,Telemetry,raw_imu,stream (async generator),(),Subscribe to 'Raw IMU' updates.,,missing,,
telemetry,Telemetry,rc_status,stream (async generator),(),Subscribe to 'RC status' updates.,get_rc_status,implemented,,
telemetry,Telemetry,scaled_imu,stream (async generator),(),Subscribe to 'Scaled IMU' updates.,,missing,,
telemetry,Telemetry,scaled_pressure,stream (async generator),(),Subscribe to 'Scaled Pressure' updates.,,missing,,
telemetry,Telemetry,set_rate_actuator_control_target,async call,(rate_hz),Set rate to 'actuator control target' updates.,,missing,,
telemetry,Telemetry,set_rate_actuator_output_status,async call,(rate_hz),Set rate to 'actuator output status' updates.,,missing,,
telemetry,Telemetry,set_rate_altitude,async call,(rate_hz),Set rate to 'Altitude' updates.,,missing,,
telemetry,Telemetry,set_rate_attitude_euler,async call,(rate_hz),Set rate to 'attitude quaternion' updates.,,missing,,
telemetry,Telemetry,set_rate_attitude_quaternion,async call,(rate_hz),Set rate to 'attitude euler angle' updates.,,missing,,
telemetry,Telemetry,set_rate_battery,async call,(rate_hz),Set rate to 'battery' updates.,,missing,,
telemetry,Telemetry,set_rate_distance_sensor,async call,(rate_hz),Set rate to 'Distance Sensor' updates.,,missing,,
telemetry,Telemetry,set_rate_fixedwing_metrics,async call,(rate_hz),Set rate to 'fixedwing metrics' updates.,,missing,,
telemetry,Telemetry,set_rate_gps_info,async call,(rate_hz),Set rate to 'GPS info' updates.,,missing,,
telemetry,Telemetry,set_rate_ground_truth,async call,(rate_hz),Set rate to 'ground truth' updates.,,missing,,
telemetry,Telemetry,set_rate_home,async call,(rate_hz),Set rate to 'home position' updates.,,missing,,
telemetry,Telemetry,set_rate_imu,async call,(rate_hz),Set rate to 'IMU' updates.,get_imu,implemented,,
telemetry,Telemetry,set_rate_in_air,async call,(rate_hz),Set rate to in-air updates.,,missing,,
telemetry,Telemetry,set_rate_landed_state,async call,(rate_hz),Set rate to landed state updates,,missing,,
telemetry,Telemetry,set_rate_odometry,async call,(rate_hz),Set rate to 'odometry' updates.,,missing,,
telemetry,Telemetry,set_rate_position,async call,(rate_hz),Set rate to 'position' updates.,,missing,,
telemetry,Telemetry,set_rate_position_velocity_ned,async call,(rate_hz),Set rate to 'position velocity' updates.,,missing,,
telemetry,Telemetry,set_rate_raw_imu,async call,(rate_hz),Set rate to 'Raw IMU' updates.,,missing,,
telemetry,Telemetry,set_rate_rc_status,async call,(rate_hz),Set rate to 'RC status' updates.,,missing,,
telemetry,Telemetry,set_rate_scaled_imu,async call,(rate_hz),Set rate to 'Scaled IMU' updates.,,missing,,
telemetry,Telemetry,set_rate_unix_epoch_time,async call,(rate_hz),Set rate to 'unix epoch time' updates.,,missing,,
telemetry,Telemetry,set_rate_velocity_ned,async call,(rate_hz),Set rate of camera attitude updates.,,missing,,
telemetry,Telemetry,set_rate_vtol_state,async call,(rate_hz),Set rate to VTOL state updates,,missing,,
telemetry,Telemetry,status_text,stream (async generator),(),Subscribe to 'status text' updates.,print_status_text,implemented,,
telemetry,Telemetry,unix_epoch_time,stream (async generator),(),Subscribe to 'unix epoch time' updates.,,missing,,
telemetry,Telemetry,velocity_ned,stream (async generator),(),Subscribe to 'ground speed' updates (NED).,"get_speed, go_to_location, monitor_flight",implemented,,
telemetry,Telemetry,vtol_state,stream (async generator),(),subscribe to vtol state Updates,,missing,,
telemetry_server,TelemetryServer,publish_battery,async call,(battery),Publish to 'battery' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_distance_sensor,async call,(distance_sensor),"Publish to ""distance sensor"" updates.",,candidate-N/A,,
telemetry_server,TelemetryServer,publish_extended_sys_state,async call,"(vtol_state, landed_state)",Publish 'extended sys state' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_ground_truth,async call,(ground_truth),Publish to 'ground truth' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_home,async call,(home),Publish to 'home position' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_imu,async call,(imu),Publish to 'IMU' updates (in SI units in NED body frame).,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_odometry,async call,(odometry),Publish to 'odometry' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_position,async call,"(position, velocity_ned, heading)",Publish to 'position' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_position_velocity_ned,async call,(position_velocity_ned),Publish to 'position velocity' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_raw_gps,async call,"(raw_gps, gps_info)",Publish to 'Raw GPS' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_raw_imu,async call,(imu),Publish to 'Raw IMU' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_scaled_imu,async call,(imu),Publish to 'Scaled IMU' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_status_text,async call,(status_text),Publish to 'status text' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_sys_status,async call,"(battery, rc_receiver_status, gyro_status, accel_status, mag_status, gps_status)",Publish 'sys status' updates.,,candidate-N/A,,
telemetry_server,TelemetryServer,publish_unix_epoch_time,async call,(time_us),Publish to 'unix epoch time' updates.,,candidate-N/A,,
tracking_server,TrackingServer,respond_tracking_off_command,async call,(command_answer),Respond to an incoming tracking off command.,,candidate-N/A,,
tracking_server,TrackingServer,respond_tracking_point_command,async call,(command_answer),Respond to an incoming tracking point command.,,candidate-N/A,,
tracking_server,TrackingServer,respond_tracking_rectangle_command,async call,(command_answer),Respond to an incoming tracking rectangle command.,,candidate-N/A,,
tracking_server,TrackingServer,set_tracking_off_status,async call,(),Set the current tracking status to off.,,candidate-N/A,,
tracking_server,TrackingServer,set_tracking_point_status,async call,(tracked_point),Set/update the current point tracking status.,,candidate-N/A,,
tracking_server,TrackingServer,set_tracking_rectangle_status,async call,(tracked_rectangle),Set/update the current rectangle tracking status.,,candidate-N/A,,
tracking_server,TrackingServer,tracking_off_command,stream (async generator),(),Subscribe to incoming tracking off command.,,candidate-N/A,,
tracking_server,TrackingServer,tracking_point_command,stream (async generator),(),Subscribe to incoming tracking point command.,,candidate-N/A,,
tracking_server,TrackingServer,tracking_rectangle_command,stream (async generator),(),Subscribe to incoming tracking rectangle command.,,candidate-N/A,,
transponder,Transponder,set_rate_transponder,async call,(rate_hz),Set rate to 'transponder' updates.,,missing,P2,
transponder,Transponder,transponder,stream (async generator),(),Subscribe to 'transponder' updates.,,missing,P2,
tune,Tune,play_tune,async call,(tune_description),Send a tune to be played by the system.,,missing,P2,
winch,Winch,abandon_line,async call,(instance),Spool out the entire length of the line.,,missing,,
winch,Winch,deliver,async call,(instance),"Sequence of drop, slow down, touch down, reel up, lock.",,missing,,
winch,Winch,hold,async call,(instance),Engage motor and hold current position.,,missing,,
winch,Winch,load_line,async call,(instance),Load the reel with line.,,missing,,
winch,Winch,load_payload,async call,(instance),Spools out just enough to present the hook to the user to load the payload.,,missing,,
winch,Winch,lock,async call,(instance),Perform the locking sequence to relieve motor while in the fully retracted position.,,missing,,
winch,Winch,rate_control,async call,"(instance, rate_m_s)",Wind or unwind line at specified rate.,,missing,,
winch,Winch,relative_length_control,async call,"(instance, length_m, rate_m_s)","Wind or unwind specified length of line, optionally using specified rate.",,missing,,
winch,Winch,relax,async call,(instance),Allow motor to freewheel.,,missing,,
winch,Winch,retract,async call,(instance),Return the reel to the fully retracted position.,,missing,,
winch,Winch,status,stream (async generator),(),Subscribe to 'winch status' updates.,,missing,,
